date,region,category,units,unit_price,revenue,marketing_spend,satisfaction
2022-01-01,North,Technology,11,474.58,5220.38,515.6,4.8
2022-01-01,North,Office Supplies,10,43.43,434.3,168.2,5.0
2022-01-01,South,Office Supplies,3,40.72,103.84,92.16,4.6
2022-01-02,West,Furniture,4,393.23,1966.15,291.41,3.5
2022-01-03,North,Office Supplies,5,31.25,156.25,52.52,3.6
2022-01-03,South,Technology,10,426.39,3624.31,366.06,4.1
2022-01-03,West,Office Supplies,3,47.57,178.39,77.02,5.0
2022-01-03,West,Appliances,3,309.22,1159.58,148.9,3.4
2022-01-04,South,Office Supplies,7,61.46,365.69,118.59,4.5
2022-01-04,West,Office Supplies,7,51.08,446.95,43.55,4.7
2022-01-05,East,Furniture,8,293.58,2700.94,216.08,3.5
2022-01-05,South,Furniture,6,396.01,2019.65,208.18,4.1
2022-01-06,West,Furniture,4,338.94,1694.7,277.22,3.3
2022-01-06,South,Furniture,10,371.73,3159.7,273.51,3.6
2022-01-07,South,Furniture,1,391.58,332.84,26.63,2.7
2022-01-08,North,Appliances,5,291.51,1457.55,177.13,3.8
2022-01-10,West,Appliances,8,281.03,2810.3,289.0,3.5
2022-01-11,South,Office Supplies,1,54.85,46.62,71.96,5.0
2022-01-11,West,Furniture,10,380.67,4758.38,423.53,2.9
2022-01-11,West,Furniture,10,409.38,5117.25,409.38,3.4
2022-01-11,South,Appliances,2,273.31,464.63,119.61,3.8
2022-01-12,South,Office Supplies,9,45.65,349.22,81.22,4.4
2022-01-12,West,Technology,4,718.87,3594.35,299.48,3.5
2022-01-13,West,Office Supplies,8,48.82,488.2,103.82,3.4
2022-01-14,East,Technology,4,803.0,3693.8,411.02,4.5
2022-01-14,East,Furniture,11,410.81,5196.75,527.26,4.1
2022-01-15,East,Appliances,4,369.73,1700.76,279.36,4.5
2022-01-15,West,Office Supplies,3,51.06,191.48,99.04,3.9
2022-01-16,West,Office Supplies,7,38.31,335.21,103.44,4.2
2022-01-16,East,Office Supplies,1,41.73,47.99,41.59,3.9
2022-01-17,North,Furniture,6,309.57,1857.42,177.73,4.1
2022-01-17,North,Office Supplies,11,55.16,606.76,140.41,4.6
2022-01-18,North,Furniture,5,406.76,2033.8,261.77,4.0
2022-01-19,South,Technology,1,401.94,341.65,129.7,3.1
2022-01-20,West,Office Supplies,11,45.3,622.88,90.59,4.5
2022-01-20,West,Appliances,5,257.17,1607.31,274.36,4.1
2022-01-21,West,Office Supplies,2,35.84,89.6,90.86,4.7
2022-01-22,North,Office Supplies,10,41.88,418.8,107.98,3.4
2022-01-22,East,Office Supplies,7,38.63,310.97,102.94,4.3
2022-01-22,South,Technology,2,412.34,700.98,162.11,2.9
2022-01-23,North,Furniture,7,401.66,2811.62,315.78,2.3
2022-01-24,North,Furniture,7,365.42,2557.94,281.07,2.9
2022-01-24,East,Office Supplies,9,54.34,562.42,96.87,4.4
